height,weight,sex,eyes,hair,race,age,city,state
5ft_4in,110,M,BROWN,BLACK,B,32,COLUMBIA,MO
5ft_7in,130,M,BROWN,BLACK,B,34,COLUMBIA,MO
6ft_1in,200,M,BROWN,BROWN,W,32,WINDSOR,MO
6ft_4in,210,M,BLUE,BROWN,W,35,COLUMBIA,MO
5ft_7in,195,M,BROWN,BLACK,B,28,COLUMBIA,MO
5ft_9in,175,M,BROWN,BLACK,B,39,KANSAS_CITY,MO
5ft_11in,240,M,BROWN,BLACK,W,29,ASHLAND,MO
5ft_6in,170,F,BROWN,BLACK,B,35,COLUMBIA,MO
5ft_6in,175,M,BROWN,BLACK,B,29,ST.LOUIS,MO
6ft_in,120,M,BLUE,BLOND OR STRAWBERRY,W,29,COLUMBIA,MO
5ft_8in,160,M,BROWN,BROWN,W,41,COLUMBIA,MO
6ft_in,190,M,BROWN,BROWN,B,38,COLUMBIA,MO
5ft_7in,215,M,BROWN,BALD,B,33,COLUMBIA,MO
5ft_9in,170,M,HAZEL,BROWN,W,39,COLUMBIA,MO
5ft_9in,190,F,BLUE,RED OR AUBURN,W,45,COLUMBIA,MO
5ft_7in,260,M,GREEN,BROWN,W,57,COLUMBIA,MO
5ft_9in,160,M,BROWN,BLACK,B,29,COLUMBIA,MO
6ft_in,185,M,BROWN,BLACK,B,17,COLUMBIA,MO
5ft_5in,127,M,BROWN,,W,19,AUXVASSE,MO
5ft_7in,170,M,BROWN,BROWN,W,24,COLUMBIA,MO
6ft_in,160,M,BROWN,BLACK,B,19,COLUMBIA,MO
5ft_1in,108,F,BROWN,BLACK,W,29,COLUMBIA,MO
6ft_2in,230,M,BROWN,BLACK,W,26,COLUMBIA,MO
5ft_8in,140,M,BROWN,BLACK,B,23,KANSAS_CITY,MO
5ft_5in,137,M,BROWN,BLACK,A,29,COLUMBIA,MO
5ft_2in,130,F,BLUE,BROWN,W,44,COLUMBIA,MO
6ft_in,205,M,BLUE,BLOND OR STRAWBERRY,W,42,COLUMBIA,MO
5ft_7in,220,F,GREEN,BROWN,W,50,ROCHEPORT,MO
5ft_11in,190,M,BLUE,BROWN,W,38,LAKE_GENEVA,WI
5ft_8in,160,M,BROWN,BLACK,B,25,COLUMBIA,MO
5ft_9in,165,M,BROWN,BROWN,W,26,COLUMBIA,MO
5ft_6in,110,F,HAZEL,BROWN,W,22,COLUMBIA,MO
5ft_1_in,192,M,BLUE,GRAY OR PARTIALLY GRAY,W,42,COLUMBIA,MO
5ft_8in,240,M,BROWN,BROWN,W,42,COLUMBIA,MO
5ft_1_in,180,M,GREEN,BROWN,W,25,COLUMBIA,MO
5ft_6in,350,M,BLACK,,B,30,COLUMBIA,MO
5ft_6in,130,M,BROWN,BLACK,B,31,COLUMBIA,MO
5ft_8in,155,M,BROWN,BLACK,B,42,COLUMBIA,MO
5ft_11in,160,M,BROWN,BLACK,B,39,CHICAGO,IL
6ft_in,150,M,HAZEL,BROWN,W,43,COLUMBIA,MO
6ft_1in,250,M,HAZEL,BROWN,W,38,MILAND,TN
6ft_in,215,M,BLUE,BROWN,W,34,STURGEON,MO
6ft_in,170,M,GREEN,BROWN,W,24,COLUMBIA,MO
5ft_6in,180,M,BROWN,BLACK,B,29,COLUMBIA,MO
5ft_1_in,165,M,BLUE,BROWN,W,21,COLUMBIA,MO
6ft_in,175,M,BLUE,BLOND OR STRAWBERRY,W,35,COLUMBIA,MO
6ft_in,190,M,BROWN,GRAY OR PARTIALLY GRAY,W,38,FAYETTE,MO
6ft_1in,165,M,BLUE,GRAY OR PARTIALLY GRAY,W,62,COLUMBIA,MO
5ft_6in,176,M,BROWN,BROWN,W,46,ASHLAND,MO
5ft_6in,175,F,BLUE,RED OR AUBURN,W,25,COLUMBIA,MO
5ft_8in,160,M,BROWN,BLACK,U,65,COLUMBIA,MO
5ft_11in,190,M,HAZEL,BROWN,W,37,WEBB_CITY,MO
5ft_in,100,F,HAZEL,RED OR AUBURN,W,35,COLUMBIA,MO
5ft_8in,155,M,BROWN,BLACK,W,58,HARRISBURG,MO
5ft_7in,183,M,,,W,34,COLUMBIA,MO
5ft_1_in,155,M,HAZEL,RED OR AUBURN,W,38,ASHLAND,MO
5ft_1_in,144,M,BROWN,BLACK,B,22,COLUMBIA,MO
6ft_2in,160,M,BROWN,BLACK,B,27,KANSAS_CITY,MO
5ft_1_in,115,M,BROWN,BROWN,U,23,COLUMBIA,MO
6ft_2in,209,M,BROWN,BLACK,B,30,COLUMBIA,MO
6ft_2in,195,M,BROWN,BROWN,B,20,COLUMBIA,MO
6ft_1in,200,M,BROWN,BLACK,B,33,COLUMBIA,MO
5ft_1_in,180,M,BLUE,BROWN,W,28,COLUMBIA,MO
5ft_6in,200,F,BLUE,BROWN,B,19,COLUMBIA,MO
5ft_9in,205,M,BROWN,BLACK,B,38,COLUMBIA,MO
6ft_1in,190,M,BROWN,BLACK,B,39,COLUMBIA,MO
