case #,charge_description,charge_status,bail_amount,bond_type,court_date,court_time,court_of_jurisdiction
17ba-cr01741,sexual_abuse_-_2nd_degree,,"7,500.00",cash,12/13/2019,10:30,d09
17ba-cr01741,"assault_-_4th_degree_-_pursuant_to_subdivisions_(3),_(6)",,"7,500.00",cash,12/13/2019,10:30,d09
17ba-cr03831,sexual_misconduct_-_1st_degree_-_1st_offense,,"1,000.00",c/s,12/13/2019,10:30,d09
17ba-cr04335,sexual_misconduct_-_1st_degree_-_1st_offense,,500.00,c/s,12/13/2019,10:30,d09
18ba-cr00224,sexual_misconduct_-_1st_degree_-_2nd_or_subsequent,,"2,000.00",c/s,12/13/2019,10:30,d09
19ba-cr03778,harassment_-_1st_degree,,"7,500.00",c/s,04/10/2020,13:30,d05
19ba-cr03778,resisting/interfering_with_arrest_for_a_felony,,"7,500.00",c/s,04/08/2020,13:30,d05
20ba-cr00008,fta-tampering_with_m/v_1st,,"9,000.00",c/s,05/12/2020,13:00,d11
17ba-cr04356-01,prob-trafficking,,.00,nobd,06/01/2020,13:30,d01
20ba-cr00007,bond_revo_resisting/c&i_drive-dwr_1st,,"2,500.00",c/s,,,d11
20ba-cr01309,fojo/_orig:poss_cont_sub,,100.00,c/s,05/08/2020,13:30,d01
19ba-cr05137,fojo/_orig:_tampering_moto_veh,,100.00,c/s,05/08/2020,13:30,d01
20ba-cr01309,possession_of_controlled_substance_except_35_grams_or_less_o,,100.00,c/s,06/18/2020,09:00,
19ba-cr05137,tampering_with_motor_vehicle_-_1st_degree,,100.00,c/s,06/18/2020,09:00,
20ba-cr01446,tampering_with_motor_vehicle_-_1st_degree,,"10,000.00",c/s,06/18/2020,09:00,d09
19ba-cr01663-01,p&p_hold_(jail)_prob_burglary_2nd,,"1,000.00",c/s,06/01/2020,09:00,d03
17co-cr00666,ooc_war:fta:non_support_cooper_co,,500.00,cash,,,oth
18ba-cr04443-01,"unlawful_poss_f/a,_stealing_-_firearm",,"75,000.00",cash,03/16/2020,13:30,d02
19ba-cr04206,possession_of_controlled_substance_except_35_grams_or_less_o,,"50,000.00",c/s,06/10/2020,13:30,d02
19ba-cr03797-01,harassment_-_1st_degree,,"50,000.00",c/s,02/10/2020,13:30,d02
19ba-cr05590-01,armed_criminal_action,,.00,cash,02/03/2020,13:30,
19bacr02203,fta-dur/dus,,250.00,c/s,06/25/2020,13:30,d05
19ba-cr02200,"fta-resisting,_dur/dus,_f/t_reg_mtr_veh",,"4,000.00",c/s,03/18/2020,13:30,d05
19ba-cr05590-01,assault_1st_degree_-_serious_physical_injury_spec_victim,,"1,000,000.00",cash,02/03/2020,13:30,
19ba-cr05590-01,unlawful_use_of_weapon-subsection_9-shoot_at/from_mv,,.00,cash,02/03/2020,13:30,
19ba-cr05590-01,property_damage_1st_degree_-_l/e_or_relative,,.00,cash,02/03/2020,13:30,
19ba-cr05590-01,resisting_arrest/detention/stop_by_fleeing_-_creating_a_subs,,.00,cash,02/03/2020,13:30,
19ba-cr05593-01,tampering_with_motor_vehicle_-_1st_degree,,"100,000.00",cash,02/03/2020,13:30,
19ba-cr05593-01,resisting_or_interfering_with_arrest/detention/stop,,.00,cash,04/30/2020,14:00,
20ba-cr00641,delivery_or_possession_of_weapon_at_county/private_jail/corr,,.00,nobd,06/25/2020,14:00,
20ba-cr00641,damage_to_jail/jail_property,,.00,nobd,06/25/2020,14:00,
20ba-cr00641,escape_or_attempted_escape_from_custody_while_under_arrest_f,,.00,nobd,06/25/2020,13:30,
20ba-cr01671,unlawful_possession_of_a_firearm,,"50,000.00",c/s,05/19/2020,13:30,
17ba-cr00332-01,probation_violation_(unlaw_poss_firearm),,"4,500.00",c/s,05/18/2020,13:30,
170226669,ooc_jcpd_driving_while_suspended,,.00,ror,07/08/2020,08:30,
18accr01341,ooc_cole_co_fta_unlawful_poss_weapon,,"5,000.00",c/s,06/12/2020,09:00,
20ba-cr01671,possession_of_controlled_substance_except_35_grams_or_less_o,,.00,c/s,05/19/2020,13:30,
20ba-cr01671,unlawful_use_of_weapon_-_subsection_11_-_possess_weapon_and,,.00,c/s,05/19/2020,13:30,
20ba-cr01671,resisting_or_interfering_with_arrest/detention/stop,,.00,c/s,05/19/2020,13:30,
19ba-cr01473-01,rape_or_attempted_rape_-_1st_degree_-_aggravated_sexual_offe,,.00,nobd,12/17/2019,09:00,d04
1822-cr01774,ooc_warrant(jail)/st_louis_metro,,"9,999.00",cash,,,
20ba-cr00118-01,possession_of_child_pornography_-_2nd/subsequent_offense,,"25,000.00",c/s,05/11/2020,13:30,
20ba-cr00118-01,fl_to_reg_as_sex_offndr/589.400-.425_undrlyng_ofns_unclassfd,,"25,000.00",c/s,05/11/2020,13:30,
19ba-cr03653,ftf:_trespass_1st,,"2,000.00",c/s,03/25/2020,09:00,d05
19ba-cr02251,ftf:_dom_asslt_4th,,"2,000.00",c/s,01/30/2020,14:00,d05
19ba-cr04400-01,domestic_assault_-_2nd_degree,,"50,000.00",cash,03/02/2020,13:30,d11
19ba-cr03652-01,ftf:_dv3/stalking_1st,,"50,000.00",c/s,02/03/2020,13:30,d05
19ba-cr04140-01,rape_or_attempted_rape_-_1st_degree_-_aggravated_sexual_offe,,"200,000.00",cash,02/10/2020,13:30,d09
19-3037-mj-wje,us_marshal_hold_(jail),,.00,nobd,,,oth
19ba-cr02419,bond_revocation_(jail)/burg_2nd,,"20,000.00",c/s,09/25/2019,13:30,d09
20ba-cr01469,possession_of_controlled_substance_except_35_grams_or_less_o,,.00,c/s,05/27/2020,13:00,
20ba-cr01469,tampering_with_motor_vehicle_-_1st_degree,,"20,000.00",c/s,05/27/2020,13:00,
19ba-cr04811-01,reckless_burning_or_exploding,,"15,000.00",c/s,03/02/2020,13:30,d11
19ba-cr04811-01,burglary_1st_degree,,.00,c/s,03/02/2020,13:30,d11
19ba-cr04811-01,stealing_-_value_less_than_$150_and_no_prior_stealing_offens,,.00,c/s,03/02/2020,13:30,
20ba-cr00616-01,resisting/interfering_with_arrest_for_a_felony,,.00,nobd,03/16/2020,09:00,
20ba-cr00616-01,operated_a_motor_vehicle_in_a_careless_and_imprudent_manneri,,.00,nobd,03/16/2020,09:00,
16ba-cr01626-01,fta-forgery,,"20,000.00",c/s,03/16/2020,13:30,
15ba-cr01789-01,fta-tamp_w/_motor_veh,,"20,000.00",c/s,03/16/2020,13:30,
17ba-cr02117-01,fta-terrorist_threat_2nd,,"5,000.00",c/s,03/16/2020,13:30,
16mn-cr00153-01,monroe/forgery,,"20,000.00",cash,,,
19ba-cr01541-01,statutory_sodomy_or_attempted_statutory_sodomy_-_deviate_sex,,"100,000.00",cash,10/31/2019,14:00,
19ba-cr02661-01,armed_criminal_action,,"250,000.00",cash,05/11/2020,13:30,
19ba-cr02661-01,assault_1st_degree_-_serious_physical_injury_spec_victim,,"250,000.00",cash,05/11/2020,13:30,
19ba-cr02661-01,murder_2nd_degree_-_felony_murder_-_during_perpetration/atte,,"500,000.00",cash,05/11/2020,13:30,
20ba-cr01031,unlawful_possession_of_a_firearm,,"1,500.00",c/s,03/12/2020,13:30,
20ba-cr01648,assault_1st_degree_-_serious_physical_injury_spec_victim,,"200,000.00",cash,05/19/2020,13:00,
20ba-cr01648,armed_criminal_action,,.00,cash,05/19/2020,13:00,
20ba-cr01648,discharge/shoot_firearm_at_or_from_motor_vehicle,,.00,cash,05/19/2020,13:00,
20ba-cr00659,tampering_with_motor_vehicle_-_1st_degree,,"25,000.00",c/s,03/09/2020,13:30,d11
